studyId,TRIAL_INSTANCE,trial,gen,block,ibk,col,row,resp
2089,,loc_03,geno_18,2,3,9,3,1660
2089,,loc_03,geno_21,2,3,10,3,1263
2089,,loc_03,geno_11,2,3,11,3,799
2089,,loc_03,geno_15,2,3,12,3,1541
2089,,loc_03,geno_23,2,4,1,4,1708
2089,,loc_03,geno_09,2,4,2,4,1577
2089,,loc_03,geno_07,2,4,3,4,1928
2089,,loc_03,geno_03,2,4,4,4,1908
2089,,loc_03,geno_20,2,5,5,4,1714
2089,,loc_03,geno_14,2,5,6,4,1410
2089,,loc_03,geno_08,2,5,7,4,1698
2089,,loc_03,geno_02,2,5,8,4,939
2089,,loc_03,geno_01,2,6,9,4,1913
2089,,loc_03,geno_19,2,6,10,4,1850
2089,,loc_03,geno_13,2,6,12,4,2128
2089,17,loc_04,geno_01,1,1,1,1,6860
2089,17,loc_04,geno_02,1,1,2,1,8693
2089,17,loc_04,geno_03,1,1,3,1,8863
2089,17,loc_04,geno_04,1,1,4,1,8620
2089,17,loc_04,geno_05,1,2,5,1,8340
2089,17,loc_04,geno_06,1,2,6,1,8617
2089,17,loc_04,geno_07,1,2,7,1,9217
2089,17,loc_04,geno_08,1,2,8,1,6973
2089,17,loc_04,geno_09,1,3,9,1,8417
2089,17,loc_04,geno_10,1,3,10,1,8070
2089,17,loc_04,geno_11,1,3,11,1,8517
2089,17,loc_04,geno_12,1,3,12,1,6363
2089,17,loc_04,geno_13,1,4,1,2,6270
2089,17,loc_04,geno_14,1,4,2,2,9410
2089,17,loc_04,geno_15,1,4,3,2,8053
2089,17,loc_04,geno_16,1,4,4,2,8043
2089,17,loc_04,geno_17,1,5,5,2,8220
2089,17,loc_04,geno_18,1,5,6,2,6360
2089,17,loc_04,geno_19,1,5,7,2,6793
2089,17,loc_04,geno_20,1,5,8,2,6637
2089,17,loc_04,geno_21,1,6,9,2,7003
2089,17,loc_04,geno_22,1,6,10,2,6513
2089,17,loc_04,geno_23,1,6,11,2,6140
2089,17,loc_04,geno_17,2,1,1,3,9370
2089,17,loc_04,geno_12,2,1,2,3,9423
2089,17,loc_04,geno_22,2,1,3,3,10003
2089,17,loc_04,geno_05,2,1,4,3,9503
2089,17,loc_04,geno_10,2,2,5,3,6013
2089,17,loc_04,geno_16,2,2,6,3,6600
2089,17,loc_04,geno_06,2,2,7,3,8983
2089,17,loc_04,geno_04,2,2,8,3,10097
2089,17,loc_04,geno_18,2,3,9,3,8417
2089,17,loc_04,geno_21,2,3,10,3,6490
2089,17,loc_04,geno_11,2,3,11,3,9530
2089,17,loc_04,geno_15,2,3,12,3,5883
2089,17,loc_04,geno_23,2,4,1,4,8130
2089,17,loc_04,geno_09,2,4,2,4,10217
2089,17,loc_04,geno_07,2,4,3,4,6943
2089,17,loc_04,geno_03,2,4,4,4,7200
2089,17,loc_04,geno_20,2,5,5,4,6193
2089,17,loc_04,geno_14,2,5,6,4,9647
2089,17,loc_04,geno_08,2,5,7,4,8803
2089,17,loc_04,geno_02,2,5,8,4,9893
2089,17,loc_04,geno_01,2,6,9,4,10440
2089,17,loc_04,geno_19,2,6,10,4,5687
2089,17,loc_04,geno_13,2,6,12,4,9747
2089,19,loc_05,geno_01,1,1,1,1,2890
2089,19,loc_05,geno_02,1,1,2,1,2372
2089,19,loc_05,geno_03,1,1,3,1,2503
2089,19,loc_05,geno_04,1,1,4,1,2162
2089,19,loc_05,geno_05,1,2,5,1,2997
2089,19,loc_05,geno_06,1,2,6,1,2395
2089,19,loc_05,geno_07,1,2,7,1,2188
2089,19,loc_05,geno_08,1,2,8,1,2712
2089,19,loc_05,geno_09,1,3,9,1,1688
2089,19,loc_05,geno_10,1,3,10,1,1752
2089,19,loc_05,geno_11,1,3,11,1,1752
2089,19,loc_05,geno_12,1,3,12,1,1437
2089,19,loc_05,geno_13,1,4,1,2,1775
2089,19,loc_05,geno_14,1,4,2,2,2743
2089,19,loc_05,geno_15,1,4,3,2,2455
2089,19,loc_05,geno_16,1,4,4,2,2373
2089,19,loc_05,geno_17,1,5,5,2,2793
2089,19,loc_05,geno_18,1,5,6,2,2548
2089,19,loc_05,geno_19,1,5,7,2,2082
2089,19,loc_05,geno_20,1,5,8,2,1967
