"","gen","predicted.value","std.error","status","weight","Environment"
"1","geno_01",1369.389349842,77.6547333784965,"Estimable",0.000234441430452861,"loc_01"
"2","geno_02",1368.9846893667,76.5532837540328,"Estimable",0.000236655261098004,"loc_01"
"3","geno_03",1419.66082296124,76.5392228260579,"Estimable",0.000235559821974453,"loc_01"
"4","geno_04",1405.29586086098,75.446179007358,"Estimable",0.00023665246297855,"loc_01"
"5","geno_05",1387.57524094382,75.5965985841788,"Estimable",0.000235572641887648,"loc_01"
"6","geno_06",1389.30789131896,74.5414412572611,"Estimable",0.000237019140808797,"loc_01"
"7","geno_07",1385.7664936621,75.7539059935928,"Estimable",0.000237127217696017,"loc_01"
"8","geno_08",1487.3560429003,75.0162973976625,"Estimable",0.000237334868182666,"loc_01"
"9","geno_09",1394.12912007339,76.890570591412,"Estimable",0.00023644806397428,"loc_01"
"10","geno_10",1367.38932345481,75.9059697228338,"Estimable",0.000236396314860263,"loc_01"
"11","geno_11",1388.64783416673,78.4198340062485,"Estimable",0.000231057897795792,"loc_01"
"12","geno_12",1416.25583142257,78.7376943527235,"Estimable",0.000232576608674268,"loc_01"
"13","geno_13",1382.68763539593,79.8090836543104,"Estimable",0.000227915750700534,"loc_01"
"14","geno_14",1413.85080626369,76.3843516762982,"Estimable",0.000235444517208799,"loc_01"
"15","geno_15",1408.62430769128,78.0079211915756,"Estimable",0.000233955945687732,"loc_01"
"16","geno_16",1374.22244557212,74.9246228708728,"Estimable",0.000237821888603441,"loc_01"
"17","geno_17",1420.1804046223,77.1025920356922,"Estimable",0.000233751939739483,"loc_01"
"18","geno_18",1366.36587516423,74.8534131587012,"Estimable",0.000238166700355861,"loc_01"
"19","geno_19",1437.21579468232,75.7581271099473,"Estimable",0.000234993133962232,"loc_01"
"20","geno_20",1401.05818320929,75.1254130584382,"Estimable",0.000236790849966437,"loc_01"
"21","geno_21",1415.92310920066,76.4152414175289,"Estimable",0.000234573513187921,"loc_01"
"22","geno_22",1363.6180378694,76.6520751195261,"Estimable",0.000237118261518194,"loc_01"
"23","geno_23",1351.84546497468,78.957741679203,"Estimable",0.000230765581071394,"loc_01"
"24","geno_01",3248.74026746783,476.522318726923,"Estimable",7.31072824879373e-06,"loc_02"
"25","geno_02",2813.7536362572,469.101634872854,"Estimable",8.23080495265988e-06,"loc_02"
"26","geno_03",3541.87953840969,462.282572613278,"Estimable",8.23080495265989e-06,"loc_02"
"27","geno_04",3181.89037237261,463.191019871964,"Estimable",8.23118268370708e-06,"loc_02"
"28","geno_05",3690.88340714169,462.814086292254,"Estimable",8.23118268370524e-06,"loc_02"
"29","geno_06",2809.83087035178,463.343927434616,"Estimable",8.23118273552628e-06,"loc_02"
"30","geno_07",3606.8109387818,463.3313413731,"Estimable",8.23080497856734e-06,"loc_02"
"31","geno_08",3925.605760127,462.04771160076,"Estimable",8.23080495265988e-06,"loc_02"
"32","geno_09",3096.00231154225,460.629282598057,"Estimable",8.23080495265989e-06,"loc_02"
"33","geno_10",4060.15834202444,461.208554745129,"Estimable",8.23118270960977e-06,"loc_02"
"34","geno_11",2889.20957488878,459.475432263632,"Estimable",8.23029925737806e-06,"loc_02"
"35","geno_12",4419.3515841792,465.269454957717,"Estimable",7.31117691977451e-06,"loc_02"
"36","geno_13",3903.8031412281,482.53528155104,"Estimable",5.8062531842172e-06,"loc_02"
"37","geno_14",3230.58991051041,457.573978041558,"Estimable",8.23118273552616e-06,"loc_02"
"38","geno_15",3653.862709701,466.209652240556,"Estimable",7.31080540174817e-06,"loc_02"
"39","geno_16",2974.96919927826,459.808350401109,"Estimable",8.23156118978661e-06,"loc_02"
"40","geno_17",3773.49430341787,465.603843468935,"Estimable",7.31168260957773e-06,"loc_02"
"41","geno_18",3613.04310938378,460.003431802709,"Estimable",8.23156118978661e-06,"loc_02"
"42","geno_19",3023.54575932828,466.284760773242,"Estimable",7.61821875785998e-06,"loc_02"
"43","geno_20",3529.90522728601,460.737871504535,"Estimable",8.23118268369635e-06,"loc_02"
"44","geno_21",2943.30476322541,460.786249418641,"Estimable",8.20104607215466e-06,"loc_02"
"45","geno_22",3635.61281704855,457.885588896867,"Estimable",8.23156121563214e-06,"loc_02"
"46","geno_23",2476.0066761859,472.946968540856,"Estimable",6.41928421167486e-06,"loc_02"
"47","geno_01",1638.65340197753,143.882845822498,"Estimable",9.32577746732288e-05,"loc_03"
"48","geno_02",926.616484778405,138.503708330629,"Estimable",0.000104845329258908,"loc_03"
